department,code,name
ADEM,GERH4030,DESARROLLO DE LOS RECURSOS HUMANOS
ADEM,GERH4035,INNOVACIÓN Y CAMBIO ORGANIZACIONAL
ADEM,GERH4036,COMUNICACIÓN INTERPERSONAL EN EL LUGAR DE TRABAJO
ADEM,GERH4995,INTERNADO EN GERENCIA DE RECURSOS HUMANOS
ADEM,MERC3115,PRINCIPIOS DE MERCADEO
ADEM,MERC3117,VENTAS Y GERENCIA DE VENTAS
ADEM,MERC4065,ESTRATEGIAS GLOBALES DE MERCADEO
ADEM,MERC4075,INVESTIGACIÓN EN MERCADEO
ADEM,MERC4215,MANEJO DE VENTAS AL DETAL
ADEM,MERC4217,COMPORTAMIENTO DEL CONSUMIDOR
ADEM,MERC4218,ADMINSTRACIÓN DE LOGÍSTICA
ADEM,MERC4230,COMUNICACIONES INTEGRADAS DE MERCADEO
ADEM,MERC4236,MERCADEO DE SERVICIOS
ADEM,MERC4995,INTERNADO EN MERCADEO
ADEM,SICI3018,FUNDAMENTOS DE SISTEMAS DE INFORMACIÓN
ADEM,SICI3029,FUNDAMENTOS DE PROGRAMACIÓN PARA NEGOCIOS
ADEM,SICI3058,PROGRAMACION EN LENGUAJE C
ADEM,SICI3066,INTRODUCCIÓN A LA PROGRAMACIÓN PARA ANÁLISIS EMPRESARIAL
ADEM,SICI3108,FUNDAMENTOS DE DISEÑO DE SITIOS WEB
ADEM,SICI4046,ANÁLISIS Y DISEÑO DE SISTEMAS DE INFORMACIÓN
ADEM,SICI4089,COMUNICACIÓN DE DATOS Y REDES
ADEM,SICI4095,DESARROLLO DE BASE DE DATOS
ADEM,SICI4096,MANEJO DE ASUNTOS CONTEMPORÁNEOS EN LA GERENCIA DE SISTEMAS DE INFORMACIÓN
ADEM,SICI4097,DESARROLLO DE SISTEMAS
ADEM,SICI4144,LENGUAJES DE PROGRAMACIÓN PARA NEGOCIOS
ADEM,SICI4146,TECNOLOGÍA DE HARDWARE Y SOFTWARE EN LOS SISTEMAS DE INFORMACIÓN
ADEM,SICI4155,SISTEMAS DE RESPALDO PARA LA TOMA DE DECISIONES
ADEM,SICI4157,CONCEPTOS AVANZADOS DE BASES DE DATOS
ADEM,SICI4168,AUDITORÍA DE SISTEMAS DE INFORMACIÓN
ADEM,SICI4175,INTRODUCCIÓN A LA PROGRAMACIÓN EN JAVA
ADEM,SICI4185,INTRODUCCIÓN A LA PROGRAMACIÓN DE DISPOSITIVOS MÓVILES
ADEM,SICI4186,INVESTIGACIONES FORENSES PARA COMPUTADORAS Y MÓVILES
ADEM,SICI4308,FUNDAMENTOS DE REDES Y ENRUTAMIENTO
ADEM,SICI4995,INTERNADO EN SISTEMAS DE INFORMACIÓN COMPUTADORIZADOS
ADEM,SICI5318,ENRUTAMIENTO INTERMEDIO, CONMUTACIÓN Y REDES DE ÁREAS AMPLIAS
ADEM,ADOF3005,SISTEMA ABREVIADO DE ESCRITURA EN ESPAÑOL
ADEM,ADOF3009,MANEJO Y CONTROL DE DOCUMENTOS
ADEM,ADOF3016,EL TECLADO Y SUS APLICACIONES I
ADEM,ADOF3017,EL TECLADO Y SUS APLICACIONES II
ADEM,ADOF3036,PROCESAMIENTO DE INFORMACIÓN Y SERVICIOS DE FACTURACIÓN EN OFICINAS MÉDICAS
ADEM,ADOF3105,INTRODUCCIÓN A LA ADMINISTRACIÓN DE OFICINAS
ADEM,ADOF3107,LA OFICINA: CONCEPTOS, SISTEMAS Y TECNOLOGÍA DE OFICINAS
ADEM,ADOF3115,LAS TELECOMUNICACIONES EN LA OFICINA MODERNA
ADEM,ADOF3125,ADMINISTRACIÓN DE LA OFICINA LEGAL
ADEM,ADOF4005,LA PRODUCCIÓN ELECTRÓNICA DE DOCUMENTOS
ADEM,ADOF4019,PROCEDIMIENTOS ADMINISTRATIVOS DE OFICINA
ADEM,ADOF4020,ADIESTRAMIENTO EN EQUIPO ELECTRÓNICO
ADEM,ADOF4025,PRÁCTICA EN ADMINISTRACIÓN DE OFICINAS
ADEM,ADOF4055,RELACIONES INTERPERSONALES
ADEM,ADOF4065,INTRODUCCIÓN AL PROCESAMIENTO DE PALABRAS
ADEM,ADOF4075,INTEGRACIÓN DE PROGRAMAS DE PROCESAMIENTO DE INFORMACIÓN
ADEM,ADOF4077,DISEÑO Y PROCESAMIENTO DE DOCUMENTOS
ADEM,ADOF4080,PLANIFICACIÓN DE SEMINARIOS Y ADIESTRAMIENTOS
ADEM,ADOF4995,INTERNADO DE ADMINISTRACIÓN DE OFICINAS
