code,name
SICI3029,FUNDAMENTOS DE PROGRAMACIÓN PARA NEGOCIOS
SICI3058,PROGRAMACION EN LENGUAJE C
SICI3066,INTRODUCCIÓN A LA PROGRAMACIÓN PARA ANÁLISIS EMPRESARIAL
SICI3108,FUNDAMENTOS DE DISEÑO DE SITIOS WEB
SICI4046,ANÁLISIS Y DISEÑO DE SISTEMAS DE INFORMACIÓN
SICI4089,COMUNICACIÓN DE DATOS Y REDES
SICI4095,DESARROLLO DE BASE DE DATOS
SICI4096,MANEJO DE ASUNTOS CONTEMPORÁNEOS EN LA GERENCIA DE SISTEMAS DE INFORMACIÓN
SICI4097,DESARROLLO DE SISTEMAS
SICI4144,LENGUAJES DE PROGRAMACIÓN PARA NEGOCIOS
SICI4146,TECNOLOGÍA DE HARDWARE Y SOFTWARE EN LOS SISTEMAS DE INFORMACIÓN
SICI4155,SISTEMAS DE RESPALDO PARA LA TOMA DE DECISIONES
SICI4157,CONCEPTOS AVANZADOS DE BASES DE DATOS
SICI4168,AUDITORÍA DE SISTEMAS DE INFORMACIÓN
SICI4175,INTRODUCCIÓN A LA PROGRAMACIÓN EN JAVA
SICI4185,INTRODUCCIÓN A LA PROGRAMACIÓN DE DISPOSITIVOS MÓVILES
SICI4186,INVESTIGACIONES FORENSES PARA COMPUTADORAS Y MÓVILES
SICI4308,FUNDAMENTOS DE REDES Y ENRUTAMIENTO
SICI4995,INTERNADO EN SISTEMAS DE INFORMACIÓN COMPUTADORIZADOS
SICI5318,ENRUTAMIENTO INTERMEDIO, CONMUTACIÓN Y REDES DE ÁREAS AMPLIAS
ADOF3005,SISTEMA ABREVIADO DE ESCRITURA EN ESPAÑOL
ADOF3009,MANEJO Y CONTROL DE DOCUMENTOS
ADOF3016,EL TECLADO Y SUS APLICACIONES I
ADOF3017,EL TECLADO Y SUS APLICACIONES II
ADOF3036,PROCESAMIENTO DE INFORMACIÓN Y SERVICIOS DE FACTURACIÓN EN OFICINAS MÉDICAS
ADOF3105,INTRODUCCIÓN A LA ADMINISTRACIÓN DE OFICINAS
ADOF3107,LA OFICINA: CONCEPTOS, SISTEMAS Y TECNOLOGÍA DE OFICINAS
ADOF3115,LAS TELECOMUNICACIONES EN LA OFICINA MODERNA
ADOF3125,ADMINISTRACIÓN DE LA OFICINA LEGAL
ADOF4005,LA PRODUCCIÓN ELECTRÓNICA DE DOCUMENTOS
ADOF4019,PROCEDIMIENTOS ADMINISTRATIVOS DE OFICINA
ADOF4020,ADIESTRAMIENTO EN EQUIPO ELECTRÓNICO
ADOF4025,PRÁCTICA EN ADMINISTRACIÓN DE OFICINAS
ADOF4055,RELACIONES INTERPERSONALES
ADOF4065,INTRODUCCIÓN AL PROCESAMIENTO DE PALABRAS
ADOF4075,INTEGRACIÓN DE PROGRAMAS DE PROCESAMIENTO DE INFORMACIÓN
ADOF4077,DISEÑO Y PROCESAMIENTO DE DOCUMENTOS
ADOF4080,PLANIFICACIÓN DE SEMINARIOS Y ADIESTRAMIENTOS
ADOF4995,INTERNADO DE ADMINISTRACIÓN DE OFICINAS
